# EmployeeID,ManagerID,Title,BirthDate,ContactID,Title,FirstName,MiddleName,LastName
1,16,Production Technician - WC60,1972-05-15 0:00:00,1209,,Guy,R,Gilbert
2,6,Marketing Assistant,1977-06-03 0:00:00,1030,,Kevin,F,Brown
3,12,Engineering Manager,1964-12-13 0:00:00,1002,,Roberto,,Tamburello
4,3,Senior Tool Designer,1965-01-23 0:00:00,1290,,Rob,,Walters
5,263,Tool Designer,1949-08-29 0:00:00,1009,,Thierry,B,D'Hers
6,109,Marketing Manager,1965-04-19 0:00:00,1028,,David,M,Bradley
7,21,Production Supervisor - WC60,1946-02-16 0:00:00,1070,,JoLynn,M,Dobney
8,185,Production Technician - WC10,1946-07-06 0:00:00,1071,,Ruth,Ann,Ellerbrock
9,3,Design Engineer,1942-10-29 0:00:00,1005,Ms.,Gail,A,Erickson
10,185,Production Technician - WC10,1946-04-27 0:00:00,1076,,Barry,K,Johnson
11,3,Design Engineer,1949-04-11 0:00:00,1006,Mr.,Jossef,H,Goldberg
12,109,Vice President of Engineering,1961-09-01 0:00:00,1001,,Terri,Lee,Duffy
13,185,Production Technician - WC10,1946-10-01 0:00:00,1072,,Sidney,M,Higa
14,21,Production Supervisor - WC50,1946-05-03 0:00:00,1067,,Taylor,R,Maxwell
15,185,Production Technician - WC10,1946-08-12 0:00:00,1073,,Jeffrey,L,Ford
16,21,Production Supervisor - WC60,1946-11-09 0:00:00,1068,,Jo,A,Brown
17,185,Production Technician - WC10,1946-05-06 0:00:00,1074,,Doris,M,Hartwig
18,21,Production Supervisor - WC60,1946-09-08 0:00:00,1069,,John,T,Campbell
19,185,Production Technician - WC10,1946-04-30 0:00:00,1075,,Diane,R,Glimp
20,173,Production Technician - WC30,1967-06-15 0:00:00,1129,,Steven,T,Selikoff
21,148,Production Control Manager,1972-12-04 0:00:00,1231,,Peter,J,Krebs
22,197,Production Technician - WC45,1952-10-14 0:00:00,1172,,Stuart,V,Munson
23,197,Production Technician - WC45,1960-11-18 0:00:00,1173,,Greg,F,Alderson
24,184,Production Technician - WC30,1969-12-03 0:00:00,1113,,David,N,Johnson
